site,year,month,day,replicate,species,stage,length,comments,entered,checked
KIS2,2019,8,1,2,BYRO,1,59,,KB,KB
KIS2,2019,8,1,2,SHPE,1,59,,KB,KB
GOG4,2019,8,2,1,BYRO,1,59,,TF,ZM
GOG4,2019,8,2,1,BYRO,1,59,,TF,ZM
GOG4,2019,8,2,2,ENSO,3,59,,TF,ZM
GOG4,2019,8,2,2,SHPE,1,59,,TF,ZM
GOG1,2019,8,2,1,SHPE,1,59,,TF,ZM
GOG1,2019,8,2,1,SHPE,1,59,,TF,ZM
GOG1,2019,8,2,1,SHPE,1,59,,TF,ZM
GOG1,2019,8,2,1,SHPE,1,59,,TF,ZM
GOG1,2019,8,2,1,BAPI,3,59,,TF,ZM
GOG1,2019,8,2,2,TUBE,3,59,,TF,ZM
FAN1,2019,8,3,1,TISC,3,59,,KB,TF
FAN1,2019,8,3,1,TISC,3,59,,KB,TF
FAN1,2019,8,3,1,TISC,3,59,,KB,TF
FAN3,2019,8,3,1,BYRO,1,59,,KB,TF
FAN3,2019,8,3,1,BYRO,1,59,,KB,TF
FAN3,2019,8,3,1,BYRO,1,59,,KB,TF
FAN3,2019,8,3,1,BYRO,1,59,,KB,TF
FAN3,2019,8,3,1,BYRO,1,59,,KB,TF
FAN3,2019,8,3,1,BYRO,1,59,,KB,TF
FAN3,2019,8,3,1,BYRO,1,59,,KB,TF
FAN3,2019,8,3,1,BYRO,1,59,,KB,TF
FAN3,2019,8,3,1,CORO,1,59,,KB,TF
FAN3,2019,8,3,2,BYRO,1,59,,KB,TF
KOE1,2019,8,4,1,PASA,3,59,,TF,KB
CHP,2020,7,19,1,BYRO,1,59,,CP,ZM
CHP,2020,7,19,1,BYRO,1,59,,CP,ZM
CHP,2020,7,19,1,TUBE,1,59,,CP,ZM
HDO,2020,7,19,2,TISC,3,59,,CP,
HDO,2020,7,19,2,TISC,3,59,,CP,
WFB,2020,7,20,1,ENSO,3,59,,AO,
WFB,2020,7,20,1,ENSO,3,59,,AO,
PPO,2020,7,21,1,TISC,3,59,,AO,
PPO,2020,7,21,1,TISC,3,59,,AO,
PBA,2020,7,21,1,THST,3,59,,CP,
PBA,2020,7,21,2,SMSC,3,59,,CP,
KIS1,2020,7,24,1,SAND,3,59,,ZM,CP
KIS1,2020,7,24,1,BYRO,1,59,,ZM,CP
KIS2,2020,7,24,1,BYRO,1,59,,ZM,CP
KIS2,2020,7,24,2,BAPI,3,59,,ZM,CP
KIS2,2020,7,24,2,BYRO,1,59,,ZM,CP
KIS2,2020,7,24,2,BYRO,1,59,,ZM,CP
KIS2,2020,7,24,2,BYRO,1,59,,ZM,CP
KIS2,2020,7,24,2,CRGU,3,59,,ZM,CP
GOG1,2020,7,26,1,SHPE,1,59,,CP,AO
GOG1,2020,7,26,1,ENSO,3,59,,CP,AO
GOG4,2020,7,26,1,ENSO,3,59,,CP,AO
GOG4,2020,7,26,1,SASO,3,59,,CP,AO
GOG4,2020,7,26,2,SHPE,1,59,,CP,AO
GOG4,2020,7,26,2,SASO,3,59,,CP,AO
FAN3,2020,7,25,1,TISC,3,59,,AO,CP
GOG1,2020,8,4,1,TUBE,3,59,,AO,CP
SSP,2021,7,9,1,ENSO,3,59,,CP,RO
WFB,2021,7,9,2,PASA,3,59,,RO,CP
PPO,2021,7,10,1,TISC,3,59,,CP,RO
PPO,2021,7,10,1,TISC,3,59,,CP,RO
PPO,2021,7,10,1,TISC,3,59,,CP,RO
PBA,2021,7,10,1,GRSC,1,59,,ZM,RO
KOE3,2021,7,11,1,TISC,3,59,,CP,RO
KSI1,2021,7,12,1,BYRO,1,59,,ZM,CP
GOG1,2021,7,13,1,BYRO,1,59,,KB,CP
GOG1,2021,7,13,1,PEGU,3,59,,KB,CP
GOG1,2021,7,13,1,ENSO,3,59,,KB,CP
GOG1,2021,7,13,2,TISC,3,59,,KB,CP
FAN1,2021,7,14,1,BYRO,1,59,,RO,CP
FAN1,2021,7,14,2,BYRO,1,59,,RO,CP
FAN3,2021,7,14,2,TISC,3,59,,CP,RO
sni10,2015,8,13,1,herr,3,58.2,,ben,zach
pba,2014,6,12,1,thst,3,58,,midoli,midoli
kis2,2014,6,13,1,tube,3,58,,carolyn,midoli
kis2,2014,6,13,2,pegu,3,58,,carolyn,midoli
hab2,2014,6,14,1,enso,3,58,,carolyn,midoli
hab2,2014,6,14,1,enso,3,58,,carolyn,midoli
koe1,2014,6,15,2,sand,3,58,,carolyn,midoli
koe1,2014,6,15,2,enso,3,58,,carolyn,midoli
wfb,2014,7,9,2,enso,3,58,,midoli,midoli
pba,2014,7,10,1,busc,3,58,,ben,midoli
fei1,2014,7,11,1&2,bago,3,58,,ben,midoli
fei1,2014,7,11,1&2,bago,3,58,,ben,midoli
fei1,2014,7,11,1&2,argo,3,58,,ben,midoli
fan1,2014,7,13,2,tube,3,58,,ben,ben
fan2,2014,7,13,2,tube,3,58,,ben,ben
sni1,2014,7,14,1,tisc,3,58,,midoli,ben
sni1,2014,7,14,1,tisc,3,58,,midoli,ben
sni1,2014,7,14,1,grsc,3,58,,midoli,ben
sni2,2014,7,14,2,tisc,3,58,,midoli,ben
ssp,2014,7,25,2,tube,3,58,,midoli,ben
gog1,2014,7,26,1,tube,3,58,,midoli/carolyn,ben
fan3,2014,7,27,1,tisc,3,58,,midoli/carolyn,ben
kis5,2014,7,28,1,tisc,3,58,,midoli/carolyn,ben
kis6,2014,7,28,1,tisc,3,58,,,ben
kis6,2014,7,28,1,tisc,3,58,,,ben
kis6,2014,7,28,2,bapi,1,58,,,ben
kis6,2014,7,28,2,sand,1,58,,,ben
ris1,2014,7,29,1,sisc,3,58,,,ben
gog2,2014,7,30,1,sand,1,58,,midoli,midoli
gog2,2014,7,30,2,saso,3,58,,midoli,midoli
gog2,2014,7,30,2,saso,3,58,,midoli,midoli
gog3,2014,7,30,2,sand,3,58,,midoli,midoli
gog3,2014,7,30,2,sand,3,58,,midoli,midoli
ppo,2014,8,13,1,tisc,2,58,,midoli,carolyn
ppo,2014,8,13,2,shpe,1,58,,midoli,carolyn
ppo,2014,8,13,2,tisc,2,58,,midoli,carolyn
wfb,2014,8,14,2,saso,3,58,,ben,carolyn
ssp,2014,8,14,2,shpe,1,58,,ben,carolyn
fei3,2014,8,15,1,shpe,1,58,,carolyn,m
fei3,2014,8,15,1,tube,1,58,,carolyn,m
fei4,2014,8,15,1,shpe,1,58,,carolyn,m
fei4,2014,8,15,1,shpe,1,58,,carolyn,m
fei4,2014,8,15,1,kepe,3,58,,carolyn,m
ssp,2014,9,9,1,cqbr,3,58,,midoli,carolyn
rie2,2014,9,12,1,stsc,3,58,,midoli,carolyn
rie2,2014,9,12,1,stfl,1,58,,midoli,carolyn
wfb,2015,5,2,1,saso,1,58,,ben,ben
wfb,2015,5,2,2,pasa,1,58,,ben,ben
wfb,2015,5,2,2,pasa,1,58,,ben,ben
ssp,2015,5,2,2,pasa,1,58,,ben,ben
ssp,2015,5,2,2,pasa,1,58,,ben,ben
pba,2015,5,3,1,susm,1,58,,ben,midoli
pba,2015,5,3,1,thst,2,58,,ben,midoli
chp,2015,5,4,1,sand,1,58,,midoli,ben
chp,2015,5,4,1,sand,1,58,,midoli,ben
ppo,2015,5,20,1,tisc,2,58,,midoli/zach,zach
pba,2015,5,20,1,thst,3,58,,midoli/zach,zach
pba,2015,5,20,2,tube,1,58,,midoli/zach,zach
pba,2015,5,20,2,kegr,3,58,,midoli/zach,zach
fei8,2015,5,21,2,stsc,3,58,,zach/ben,zach
fei9,2015,5,21,2,thst,3,58,,zach/ben,zach
wfb,2015,5,31,1,pink,1,58,,zach,ben
wfb,2015,5,31,1,sand,1,58,,zach,ben
ssp,2015,5,31,1,kegr,3,58,,zach,ben
ssp,2015,5,31,1,pasa,3,58,,zach,ben
ssp,2015,5,31,1,kegr,3,58,,zach,ben
chp,2015,6,2,2,enso,3,58,,ben,midoli
hdo,2015,6,2,1,blgo,3,58,,ben,midoli
hdo,2015,6,2,2,enso,3,58,,ben,midoli
sni7,2015,6,10,1,tisc,2,58,,zach,zach
sni8,2015,6,10,1,herr,1,58,,zach,zach
sni8,2015,6,10,1,herr,1,58,,zach,zach
sni8,2015,6,10,2,blgo,2,58,,zach,zach
hab4,2015,6,13,2,stsc,3,58,,ben,midoli
hab5,2015,6,14,1,tisc,2,58,,zach,midoli
hab5,2015,6,14,1,blgo,3,58,,zach,midoli
cas1,2015,6,15,1,enso,3,58,,zach,ben
nam1,2015,6,16,1,enso,3,58,,zach,ben
nam1,2015,6,16,1,enso,3,58,,zach,ben
nam1,2015,6,16,1,stsc,3,58,,zach,ben
nam1,2015,6,16,1,stsc,3,58,,zach,ben
nam1,2015,6,16,1,tisc,3,58,,zach,ben
nam1,2015,6,16,1,tisc,3,58,,zach,ben
nam1,2015,6,16,1,blgo,3,58,,zach,ben
nam1,2015,6,16,2,sisc,3,58,,zach,ben
nam1,2015,6,16,2,blgo,3,58,,zach,ben
nam2,2015,6,16,2,tisc,3,58,,zach,ben
kis10,2015,6,17,2,kegr,1,58,,,ben
kis10,2015,6,17,2,tisc,3,58,,,ben
wfb,2015,7,1,1,enso,3,58,,,ben
ssp,2015,7,1,1,pasa,3,58,,,ben
hdo,2015,7,2,2,tisc,3,58,,,ben
hdo,2015,7,2,2,tisc,3,58,,,ben
chp,2015,7,3,1,tisc,3,58,,ben,ben
ppo,2015,7,3,1,tisc,3,58,,ben,ben
ppo,2015,7,3,1,tisc,3,58,,ben,ben
ppo,2015,7,3,1,tisc,3,58,,ben,ben
sni2,2015,7,4,2,tisc,3,58,,midoli,ben
sni2,2015,7,4,2,tisc,3,58,,midoli,ben
sni2,2015,7,4,2,crgu,3,58,,midoli,ben
sni2,2015,7,4,2,blgo,3,58,,midoli,ben
fan1,2015,7,5,1,sand,3,58,,ben,ben
fan3,2015,7,5,1,tisc,3,58,,ben,ben
gog3,2015,7,6,1,enso,3,58,,zach,ben
gog3,2015,7,6,1,saso,3,58,,zach,ben
gog3,2015,7,6,1,saso,3,58,,zach,ben
kis2,2015,7,7,2,tisc,3,58,,kaia,ben
kis2,2015,7,7,2,tisc,3,58,,kaia,ben
kis6,2015,7,7,1,sand,1,58,,kaia,ben
kis6,2015,7,7,2,tube,3,58,,kaia,ben
hab2,2015,7,12,1,saso,3,58,,zach,zach
hab1,2015,7,13,2,blgo,3,58,,zach,zach
fei2,2015,7,14,1,thst,2,58,,ben,zach
fei2,2015,7,14,1,tisc,3,58,,ben,zach
fei2,2015,7,14,1,tisc,3,58,,ben,zach
fei2,2015,7,14,1,tisc,3,58,,ben,zach
fei2,2015,7,14,2,pipe,3,58,,ben,zach
fei12,2015,7,14,1,tisc,3,58,,ben,zach
fei12,2015,7,14,1,shpe,1,58,,ben,zach
fei12,2015,7,14,2,thst,2,58,,ben,zach
ssp,2015,7,28,1,saso,3,58,,ben,zach
ssp,2015,7,28,1,saso,3,58,,ben,zach
ssp,2015,7,28,1,saso,3,58,,ben,zach
ssp,2015,7,28,1,enso,3,58,,ben,zach
ssp,2015,7,28,1,enso,3,58,,ben,zach
wfb,2015,7,28,1,saso,3,58,,ben,zach
wfb,2015,7,28,1,saso,3,58,,ben,zach
wfb,2015,7,28,1,saso,3,58,,ben,zach
wfb,2015,7,28,1,sand,3,58,,ben,zach
wfb,2015,7,28,1,sand,3,58,,ben,zach
ppo,2015,7,29,1,bapi,3,58,,zach,ben
ppo,2015,7,29,1,shpe,1,58,,zach,ben
ppo,2015,7,29,1,tisc,3,58,,zach,ben
ppo,2015,7,29,1,tisc,3,58,,zach,ben
ppo,2015,7,29,2,rbsc,3,58,,zach,ben
ppo,2015,7,29,2,rbsc,3,58,,zach,ben
hdo,2015,7,29,1,shpe,1,58,,zach,ben
hdo,2015,7,29,1,shpe,1,58,,zach,ben
pba,2015,7,30,2,tisc,3,58,,zach,ben
chp,2015,7,30,1,tube,3,58,,zach,ben
koe3,2015,7,31,1,shpe,1,58,,zach,kaia
ris3,2015,8,1,2,grsc,3,58,,kaia,zach
ris3,2015,8,1,2,enso,3,58,,kaia,zach
ris1,2015,8,1,1,shpe,1,58,,kaia,zach
fei3,2015,8,2,1,shpe,1,58,,,
fei3,2015,8,2,1,shpe,1,58,,,
fei3,2015,8,2,1,tisc,3,58,,,
fei13,2015,8,12,1,shpe,1,58,,ben,zach
sni9,2015,8,13,2,tisc,3,58,,ben,zach
sni10,2015,8,13,1,shpe,1,58,,ben,zach
sni12,2015,8,14,2,tisc,3,58,,midoli,zach
gog1,2015,8,15,1,tube,3,58,,zach,ben
hdo,2015,9,2,1,bapi,3,58,,ben,zach
chp,2015,9,11,1,cqbr,3,58,,ben,zach
pba,2015,9,12,1,tisc,3,58,,zach,zach
ssp,2016,4,7,1,pasa,1,58,,ben,kaia
chp,2016,4,8,1,kegr,3,58,,zach,midoli
chp,2016,5,7,1,pasa,3,58,,midoli,kaia
hdo,2016,5,7,1,cabe,3,58,,midoli,kaia
hdo,2016,5,7,1,enso,3,58,,midoli,kaia
ssp,2016,5,8,1,pasa,3,58,,zach,kaia
ssp,2016,5,8,1,kegr,3,58,,zach,kaia
pba,2016,5,9,2,thst,3,58,,zach,kaia
chp,2016,6,5,1,tisc,3,58,,midoli,midoli
chp,2016,6,5,1,byro,3,58,,midoli,midoli
chp,2016,6,5,2,pasa,3,58,,midoli,midoli
ssp,2016,6,6,2,saso,3,58,,midoli,kaia
hdo,2016,7,2,2,tisc,3,58,,ben,midoli
hdo,2016,7,2,2,tisc,3,58,,ben,midoli
hdo,2016,7,2,2,blgo,3,58,,ben,midoli
chp,2016,7,2,2,pasa,3,58,,ben,midoli
ppo,2016,7,3,1,tisc,3,58,,kaia,midoli
ppo,2016,7,3,1,rbsc,3,58,,kaia,midoli
ppo,2016,7,3,2,rbsc,3,58,,kaia,midoli
ppo,2016,7,3,2,byro,3,58,,kaia,midoli
pba,2016,7,3,1,byro,3,58,,kaia,midoli
wfb,2016,7,4,2,sand,3,58,,kaia,midoli
ssp,2016,7,4,1,byro,3,58,,kaia,midoli
ssp,2016,7,4,1,byro,3,58,,kaia,midoli
ssp,2016,7,4,1,tube,3,58,,kaia,midoli
ssp,2016,7,4,1,tube,3,58,,kaia,midoli
sni1,2016,7,20,1,byro,3,58,,gillian,ben
sni2,2016,7,20,1,byro,3,58,,ben,midoli
kis1,2016,7,21,1,byro,3,58,,kaia,midoli
kis1,2016,7,21,1,cabe,3,58,,kaia,midoli
kis1,2016,7,21,2,coro,3,58,,kaia,midoli
gog4,2016,7,22,1,byro,3,58,,gillian,midoli
gog4,2016,7,22,1,enso,3,58,,gillian,midoli
gog1,2016,7,22,1,reil,3,58,,gillian,midoli
ris3,2016,7,23,2,enso,3,58,,ben,midoli
ris1,2016,7,23,1,byro,3,58,,ben,midoli
ris1,2016,7,23,2,pasa,3,58,,ben,midoli
fan3,2016,7,24,1,tisc,3,58,,kaia,midoli
fan3,2016,7,24,2,byro,3,58,,kaia,midoli
fei3,2016,7,25,1,byro,3,58,,kaia,midoli
fei3,2016,7,25,1,byro,3,58,,kaia,midoli
fei3,2016,7,25,1,crgu,3,58,,kaia,midoli
fei4,2016,7,25,1,byro,3,58,,kaia,midoli
fei4,2016,7,25,1,byro,3,58,,kaia,midoli
fei4,2016,7,25,1,byro,3,58,,kaia,midoli
fei4,2016,7,25,1,byro,3,58,,kaia,midoli
fei4,2016,7,25,1,shpe,1,58,,kaia,midoli
fei4,2016,7,25,1,blgo,3,58,,kaia,midoli
fei4,2016,7,25,1,smsc,3,58,,kaia,midoli
fei4,2016,7,25,1,stfl,3,58,,kaia,midoli
fei4,2016,7,25,2,tisc,3,58,,kaia,midoli
wfb,2016,8,2,1,sand,3,58,,midoli,ben
ssp,2016,8,2,1,shpe,1,58,,midoli,ben
ssp,2016,8,2,1,byro,3,58,,midoli,ben
ssp,2016,8,2,1,cqbr,3,58,,midoli,ben
ssp,2016,8,2,1,sisc,3,58,,midoli,ben
chp,2016,8,3,1,byro,3,58,,midoli,ben
chp,2016,8,3,1,byro,3,58,,midoli,ben
chp,2016,8,3,1,byro,3,58,,midoli,ben
chp,2016,8,3,1,byro,3,58,,midoli,ben
chp,2016,8,3,1,pasa,3,58,,midoli,ben
chp,2016,8,3,1,cabe,3,58,,midoli,ben
pba,2016,8,4,1,bapi,1,58,,kaia,midoli
hdo,2016,8,4,1,shpe,1,58,,kaia,midoli
hab2,2016,8,5,1,sand,3,58,,midoli,kaia
hab2,2016,8,5,1,byro,3,58,,midoli,kaia
hab2,2016,8,5,1,byro,3,58,,midoli,kaia
hab2,2016,8,5,1,byro,3,58,,midoli,kaia
ssp,2016,9,17,1,byro,3,58,,ben,
ssp,2016,9,17,1,byro,3,58,,ben,
chp,2016,9,19,1,byro,3,58,,ang,
chp,2016,9,19,1,byro,3,58,,ang,
ppo,2016,11,15,1,tisc,3,58,,gsb,ben
ssp,2017,3,30,1,enso,3,58,,tyrel,
ssp,2017,3,30,1,enso,3,58,,tyrel,
ppo,2017,3,31,2,chum,3,58,,tyrel,tyrel
pba,2017,4,1,2,tisc,3,58,,tyrel,tyrel
pba,2017,5,24,2,thst,3,58,,ang,kdb
pba,2017,5,24,2,pasa,3,58,,ang,kdb
chp,2017,5,25,1,busc,3,58,,gsb,kdb
chp,2017,5,25,2,pasa,3,58,,gsb,kdb
wfb,2017,5,26,1,sand,3,58,,kdb,
ppo,2017,6,11,1,tisc,3,58,,tyrel,
ppo,2017,6,11,1,tisc,3,58,,tyrel,
ppo,2017,6,11,1,sand,3,58,,tyrel,
pba,2017,6,11,1,enso,3,58,,tyrel,
pba,2017,6,11,1,enso,3,58,,tyrel,
chp,2017,6,12,1,tisc,3,58,,neha,
chp,2017,6,12,1,pasa,3,58,,neha,
chp,2017,6,12,1,busc,3,58,,neha,
ssp,2017,6,13,1,pink,3,58,,neha,
wfb,2017,7,8,1,enso,3,58,,kdb,nap
ssp,2017,7,8,1,pasa,3,58,,kdb,nap
ssp,2017,7,8,1,pasa,3,58,,kdb,nap
ssp,2017,7,8,1,enso,3,58,,kdb,nap
ssp,2017,7,8,1,enso,3,58,,kdb,nap
ssp,2017,7,8,1,sand,3,58,,kdb,nap
pba,2017,7,9,2,enso,3,58,,kdb,nap
chp,2017,7,10,1,tisc,3,58,,kdb,nap
chp,2017,7,10,2,tisc,3,58,,kdb,nap
hab2,2017,7,21,1,enso,3,58,,jg,kaia
fei3,2017,7,22,1,tisc,3,58,,jg,kaia
fei4,2017,7,22,1,stsc,3,58,,jg,kaia
sni1,2017,7,23,1,crgu,3,58,,jg,kaia
sni1,2017,7,23,1,reil,3,58,,jg,kaia
sni2,2017,7,23,1,tube,3,58,,jg,kaia
kis1,2017,7,24,1,byro,3,58,,jg,kaia
kis1,2017,7,24,1,byro,3,58,,jg,kaia
kis2,2017,7,24,1,kegr,3,58,,jg,kaia
koe3,2017,7,27,1,byro,3,58,,jg,jg
koe3,2017,7,27,1,byro,3,58,,jg,jg
fan1,2017,7,28,1,sand,3,58,,jg,kaia
fan3,2017,7,28,1,tisc,3,58,,jg,kaia
ppo,2017,8,23,2,shpe,1,58,,kaia,bmm
ppo,2017,8,23,2,shpe,1,58,,kaia,bmm
ppo,2017,8,23,2,rbsc,3,58,,kaia,bmm
hdo,2017,8,23,1,shpe,1,58,,kaia,bmm
chp,2017,8,24,2,tube,3,58,,kaia,bmm
chp,2017,8,24,2,tube,3,58,,kaia,bmm
wfb,2017,8,25,1,sand,3,58,,ben,bmm
chp,2018,5,29,1,enso,3,58,,,
chp,2018,5,29,2,sisc,3,58,,,
ppo,2018,5,29,1,thst,3,58,,,
ppo,2018,5,29,1,thst,3,58,,,
ppo,2018,5,29,1,thst,3,58,,,
ppo,2018,5,29,1,thst,3,58,,,
ppo,2018,5,29,1,thst,3,58,,,
ppo,2018,5,29,1,thst,3,58,,,
ppo,2018,5,29,1,thst,3,58,,,
ppo,2018,5,29,1,thst,3,58,,,
ppo,2018,5,29,1,thst,3,58,,,
ppo,2018,5,29,1,thst,3,58,,,
ppo,2018,5,29,1,tisc,3,58,,,
ppo,2018,5,29,1,tisc,3,58,,,
ppo,2018,5,29,1,herr,3,58,,,
ppo,2018,5,29,1,sand,3,58,,,
pba,2018,5,30,1,thst,3,58,,,
hdo,2018,5,30,1,susm,3,58,,,
hdo,2018,5,30,1,susm,3,58,,,
hdo,2018,5,30,1,susm,3,58,,,
hdo,2018,5,30,1,tomc,3,58,,,
hdo,2018,5,30,1,tomc,3,58,,,
hdo,2018,5,30,2,thst,3,58,,,
hdo,2018,5,30,2,thst,3,58,,,
hdo,2018,5,30,2,thst,3,58,,,
hdo,2018,5,30,2,thst,3,58,,,
hdo,2018,5,30,2,thst,3,58,,,
hdo,2018,5,30,2,thst,3,58,,,
hdo,2018,5,30,2,thst,3,58,,,
hdo,2018,5,30,2,thst,3,58,,,
hdo,2018,5,30,2,stsc,3,58,,,
wfb,2018,5,31,1,enso,3,58,,,
wfb,2018,5,31,1,enso,3,58,,,
wfb,2018,5,31,1,saso,3,58,,,
wfb,2018,5,31,1,pasa,3,58,,,
wfb,2018,5,31,1,pasa,3,58,,,
wfb,2018,5,31,1,pasa,3,58,,,
wfb,2018,5,31,1,sand,3,58,,,
wfb,2018,5,31,2,pink,3,58,,,
wfb,2018,5,31,2,sand,3,58,,,
wfb,2018,5,31,2,sand,3,58,,,
wfb,2018,5,31,2,sand,3,58,,,
wfb,2018,5,31,2,sand,3,58,,,
ssp,2018,5,31,1,pink,3,58,,,
ssp,2018,5,31,1,pasa,3,58,,,
ssp,2018,5,31,2,pasa,3,58,,,
pba,2018,7,10,1,thst,3,58,,CP,
pba,2018,7,10,1,enso,3,58,,CP,
pba,2018,7,10,2,thst,3,58,,KB,
pba,2018,7,10,2,cabe,3,58,,KB,
hab4,2018,7,11,1,grsc,3,58,,TF,TF
hab4,2018,7,11,1,stsc,3,58,,TF,TF
hab4,2018,7,11,1,stsc,3,58,,TF,TF
hab4,2018,7,11,1,crgu,3,58,,TF,TF
hab4,2018,7,11,1,crgu,3,58,,TF,TF
hab4,2018,7,11,1,crgu,3,58,,TF,TF
hab4,2018,7,11,1,crgu,3,58,,TF,TF
hab4,2018,7,11,1,pegu,3,58,,TF,TF
hab54,2018,7,11,2,stsc,3,58,,TF,
hab75,2018,7,11,2,tisc,3,58,,TF,
hab121,2018,7,11,2,enso,3,58,,TF,
hab139,2018,7,11,2,stfl,3,58,,TF,
hab157,2018,7,11,2,reil,3,58,,TF,
HAB2,2018,7,12,1,saso,3,58,,op,
HAB2,2018,7,12,1,sand,3,58,,op,
WFB,2018,7,12,1,enso,3,58,,op,
WFB,2018,7,12,1,sand,3,58,,op,
WFB,2018,7,12,1,enso,3,58,,op,
WFB,2018,7,12,1,sand,3,58,,op,
WFB,2018,7,12,2,pasa,3,58,,op,
WFB,2018,7,12,2,herr,3,58,,op,
WFB,2018,7,12,2,enso,3,58,,op,
WFB,2018,7,12,2,enso,3,58,,op,
WFB,2018,7,12,2,enso,3,58,,op,
WFB,2018,7,12,2,herr,3,58,,op,
WFB,2018,7,12,2,herr,3,58,,op,
ssp,2018,7,12,2,pasa,3,58,,zm,
ssp,2018,7,12,2,enso,3,58,,zm,
ssp,2018,7,12,2,enso,3,58,,zm,
KIS1,2018,7,13,1,CRGU,3,58,,ZM,TF
KIS1,2018,7,13,2,ENSO,3,58,,ZM,TF
KIS2,2018,7,13,1,HERR,1,58,,ZM,TF
KIS2,2018,7,13,1,HERR,1,58,,ZM,TF
KIS2,2018,7,13,1,HERR,1,58,,ZM,TF
KIS2,2018,7,13,1,HERR,1,58,,ZM,TF
KIS2,2018,7,13,1,HERR,1,58,,ZM,TF
KIS2,2018,7,13,1,HERR,1,58,,ZM,TF
KIS2,2018,7,13,1,SAND,3,58,,ZM,TF
KIS2,2018,7,13,1,SAND,3,58,,ZM,TF
KIS2,2018,7,13,1,SAND,3,58,,ZM,TF
KIS2,2018,7,13,1,SAND,3,58,,ZM,TF
KIS2,2018,7,13,1,SAND,3,58,,ZM,TF
KIS2,2018,7,13,2,REIL,3,58,,ZM,TF
GOG4,2018,7,14,1,BYRO,3,58,,TF,
GOG4,2018,7,14,1,BYRO,3,58,,TF,
GOG4,2018,7,14,1,BYRO,3,58,,TF,
GOG4,2018,7,14,1,BYRO,3,58,,TF,
GOG4,2018,7,14,1,ENSO,3,58,,TF,
GOG4,2018,7,14,1,ENSO,3,58,,TF,
GOG4,2018,7,14,1,SASO,3,58,,TF,
GOG1,2018,7,14,2,SISC,3,58,,TF,
GOG1,2018,7,14,2,TUBE,3,58,,TF,
GOG1,2018,7,14,2,PEGU,3,58,,TF,
GOG1,2018,7,14,2,PEGU,3,58,,TF,
GOG1,2018,7,14,2,CRGU,3,58,,TF,
GOG1,2018,7,14,1,TUBE,3,58,,TF,
GOG1,2018,7,14,1,TUBE,3,58,,TF,
GOG1,2018,7,14,1,PEGU,3,58,,TF,
GOG1,2018,7,14,1,PEGU,3,58,,TF,
FAN1,2018,7,15,1,BYRO,1,58,,TF,
FAN1,2018,7,15,1,BYRO,1,58,,TF,
FAN1,2018,7,15,1,TUBE,3,58,,TF,
FAN3,2018,7,15,1,PEGU,3,58,,CP,
FAN3,2018,7,15,2,pegu,3,58,,CP,
FAN3,2018,7,15,2,pegu,3,58,,CP,
FAN3,2018,7,15,2,pegu,3,58,,CP,
SNI1,2018,7,16,1,herr,3,58,,CP,
SNI1,2018,7,16,1,herr,3,58,,CP,
SNI1,2018,7,16,1,herr,3,58,,CP,
SNI1,2018,7,16,1,herr,3,58,,CP,
SNI1,2018,7,16,1,herr,3,58,,CP,
SNI1,2018,7,16,1,herr,3,58,,CP,
SNI1,2018,7,16,1,herr,3,58,,CP,
SNI1,2018,7,16,1,herr,3,58,,CP,
SNI1,2018,7,16,1,herr,3,58,,CP,
SNI1,2018,7,16,1,herr,3,58,,CP,
SNI1,2018,7,16,1,herr,3,58,,CP,
SNI1,2018,7,16,1,herr,3,58,,CP,
SNI1,2018,7,16,1,pasa,3,58,,CP,
SNI1,2018,7,16,1,pasa,3,58,,CP,
SNI1,2018,7,16,1,crgu,3,58,,CP,
SNI1,2018,7,16,1,crgu,3,58,,CP,
SNI1,2018,7,16,2,crgu,3,58,,CP,
SNI1,2018,7,16,2,crgu,3,58,,CP,
SNI1,2018,7,16,2,tisc,3,58,,CP,
SNI1,2018,7,16,2,tisc,3,58,,CP,
SNI1,2018,7,16,2,tisc,3,58,,CP,
SNI2,2018,7,16,1,herr,3,58,,CP,
SNI2,2018,7,16,1,enso,3,58,,CP,
SNI2,2018,7,16,2,enso,3,58,,CP,
FEI4,2018,7,17,1,grsc,3,58,,CP,
FEI4,2018,7,17,1,grsc,3,58,,CP,
FEI4,2018,7,17,2,herr,3,58,,CP,
FEI4,2018,7,17,2,herr,3,58,,CP,
FEI4,2018,7,17,2,blgo,3,58,,CP,
FEI4,2018,7,17,2,blgo,3,58,,CP,
FEI4,2018,7,17,2,blgo,3,58,,CP,
FEI4,2018,7,17,2,tisc,3,58,,CP,
FEI4,2018,7,17,2,tisc,3,58,,CP,
FEI3,2018,7,17,1,enso,3,58,,TF,
FEI3,2018,7,17,1,tisc,3,58,,TF,
FEI3,2018,7,17,1,tisc,3,58,,TF,
FEI3,2018,7,17,1,unar,3,58,,TF,
FEI3,2018,7,17,2,herr,3,58,,TF,
FEI3,2018,7,17,2,herr,3,58,,TF,
FEI3,2018,7,17,2,herr,3,58,,TF,
FEI3,2018,7,17,2,grsc,3,58,,TF,
FEI3,2018,7,17,2,grsc,3,58,,TF,
FEI3,2018,7,17,2,tisc,3,58,,TF,
FEI3,2018,7,17,2,tisc,3,58,,TF,
FEI3,2018,7,17,2,tisc,3,58,,TF,
KOE1,2018,7,18,1,enso,3,58,,KB,
