code,species,genus,family,order,suborder,common name,,,
kecl,rimicola muscarum,rimicola,gobiesocidae,perciformes,gobiesocoidei,kelp clingfish,,,
kegr,hexagrammos decagrammus,hexagrammos,hexagrammidae,scorpaeniformes,hexagrammoidei,kelp greenling,,,
kepe,brachyistius frenatus,brachyistius,embiotocidae,perciformes,labroidei,kelp surfperch,,,
ling,ophiodon elongatus,ophiodon,hexagrammidae,scorpaeniformes,hexagrammoidei,lingcod,,,
lopr,lumpenella longirostris,lumpenella,stichaeidae,perciformes,zoarcoidei,longsnout prickleback,,,
losc,jordania zonope,jordania,cottidae,scorpaeniformes,cottoidei,longfin sculpin,,,
losm,spirinchus thaleichthys,spirinchus,osmeridae,osmeriformes,osmeroidei,longfin smelt,,,
losn,liparis greeni,polypera,liparidae,scorpaeniformes,cottoidei,lobefin snailfish,,,
tisn,,,,,,tidepool snailfish,,,
magr,hexogrammos octogrammus,hexogrammos,hexagrammidae,scorpaeniformes,hexagrammoidei,masked greenling,,,
masc,synchirus gilli,synchirus,cottidae,scorpaeniformes,cottoidei,manacled sculpin,,,
masn,liparis dennyi,liparis,liparidae,scorpaeniformes,cottoidei,marbled snailfish,,,
mosc,clinocottus globiceps,clinocottus,cottidae,scorpaeniformes,cottoidei,mosshead sculpin,,,
mowa,chirolophis nugator,chirolophis,stichaeidae,perciformes,zoarcoidei,mosshead warbonnet,,,
nc,,,,,,no catch,,,
noan,engraulis mordax,engraulis,engraulidae,clupeiformes,clupeoidei,northern anchovy,,,
nocl,gobiesox maeandricus,gobiesox,gobiesocidae,perciformes,gobiesocoidei,northern clingfish,,,
nosc,icelinus borealis,icelinus,cottidae,scorpaeniformes,cottoidei,northern sculpin,,,
nspo,agonopsis vulsa,agonopsis,agonidae,scorpaeniformes,cottoidei,northern spearnose poacher,,,
paco,gadus macrocephalus,gadus,gadidae,gadiformes,n-a,pacific cod,,,
pagr,oxylebius pictus,oxylebius,hexagrammidae,scorpaeniformes,hexagrammoidei,painted greenling,,,
pasa,citharichthys sordidus,citharichthys,paralichthyidae,pleuronectiformes,pleuronectoidei,pacific sanddab,,,
pasc,artedius fenestralis,artedius,cottidae,scorpaeniformes,cottoidei,padded sculpin,,,
pasf,trichodon trichodon,trichodon,trichodontidae,perciformes,trachinoidei,pacific sandfish,,,
pech,mylocheilus caurinus,mylocheilus,cyprinidae,cypriniformes,cyprinoidei,peamouth chub,,,
pegu,apodichthys flavidus,apodichthys,pholididae,perciformes,zoarcoidei,penpoint gunnel,,,
peso,eopsetta jordani,eopsetta,pleuronectidae,pleuronectiformes,pleuronectoidei,petrale sole,,,
pipe,rhacochilus vacca,rhacochilus,embiotocidae,perciformes,labroidei,pile seaperch,,,
pink,oncorhynchus gorbuscha,oncorhynchus,salmonidae,salmoniformes,salmonoidei,pink,,,
plmi,porichthys notatus,porichthys,batrachoididae,batrachoidiformes,n-a,plainfin midshipman,,,
prsc,cottus asper,cottus,cottidae,scorpaeniformes,cottoidei,prickly sculpin,,,
psro,sebastes emphaeus,sebastes,scorpaenidae,scorpaeniformes,scorpaenoidei,puget sound rockfish,,,
pypo,odontopyxis trispinosa,odontopyxis,agonidae,scorpaeniformes,cottoidei,pygmy poacher,,,
qufi,ptilichthys goodei,,,,,quillfish,,,
qbro,sebastes maliger,sebastes,scorpaenidae,scorpaeniformes,scorpaenoidei,quillback rockfish,,,
ratf,hydrolagus colliei,hydrolagus,chimaeridae,chimaeriformes,chimaeroidei,ratfish,,,
rbsc,chitonotus pugetensis,chitonotus,cottidae,scorpaeniformes,cottoidei,roughback sculpin,,,
reil,hemilepidotus hemilepidotus,hemilepidotus,cottidae,scorpaeniformes,cottoidei,red irish lord,,,
repe,amphistichus rhodoterus,amphistichus,embiotocidae,perciformes,labroidei,redtail surfperch,,,
ripr,phytichthys chirus,phytichthys,stichaeidae,perciformes,zoarcoidei,ribbon prickleback,,,
risn,liparis cyclopus,liparis,liparidae,scorpaeniformes,cottoidei,ribbon snailfish,,,
rogu,xererpes fucorum,xererpes,pholididae,perciformes,zoarcoidei,rockweed gunnel,,,
rogr,hexagrammos lagocephalus,hexagrammos,hexagrammidae,hexagrammoidei,scorpaeniformes,rock greenling,,,
ropr,xiphister mucosus,xiphister,stichaeidae,perciformes,zoarcoidei,rock prickleback,,,
rosc,ascelichthys rhodorus,ascelichthys,cottidae,scorpaeniformes,cottoidei,rosylip sculpin,,,
roso,lepidopsetta bilineata,lepidopsetta,pleuronectidae,pleuronectiformes,pleuronectoidei,rock sole,,,
rtsn,liparis rutteri,liparis,liparidae,scorpaeniformes,cottoidei,ringtail snailfish,,,
sagu,pholis ornata,pholis,pholididae,perciformes,zoarcoidei,saddleback gunnel,,,
sand,ammodytes hexapterus,ammodytes,ammodytidae,perciformes,trachinoidei,pacific sandlance,,,
sard,sardinops sagax,,,,,pacific sardine,,,
sasc,oligocottus rimensis,oligocottus,cottidae,scorpaeniformes,cottoidei,saddleback sculpin,,,
saso,psettichthys melanostictus,psettichthys,pleuronectidae,pleuronectiformes,pleuronectoidei,sand sole,,,
scsc,artedius harringtoni,artedius,cottidae,scorpaeniformes,cottoidei,scalyhead sculpin,,,
sfsc,nautichthys oculofasciatus,nautichthys,hemitripteridae,scorpaeniformes,cottoidei,sailfin sculpin,,,
sgro,sebastes brevispinus,sebastes,scorpaenidae,scorpaeniformes,scorpaenoidei,silvergray rockfish,,,
shpe,cymatogaster aggregata,cymatogaster,embiotocidae,perciformes,labroidei,shiner surfperch,,,
shsc,clinocottus acuticeps,clinocottus,cottidae,scorpaeniformes,cottoidei,sharpnose sculpin,,,
shsn,liparis pulchellus,liparis,liparidae,scorpaeniformes,cottoidei,showy sculpin,,,
sipe,hyperprosopon ellipticum,hyperprosopon,embiotocidae,perciformes,labroidei,silver surfperch,,,
sisc,blepsias cirrhosus,blepsias,hemitripteridae,scorpaeniformes,cottoidei,silverspotted sculpin,,,
slco,anoplarchus insignis,anoplarchus,stichaeidae,perciformes,zoarcoidei,slender cockscomb,,,
slsn,liparis mucosus,liparis,liparidae,scorpaeniformes,cottoidei,slimy snailfish,,,
smsc,artedius lateralis,artedius,cottidae,scorpaeniformes,cottoidei,smoothhead sculpin,,,
snpr,lumpenus sagitta,lumpenus,stichaeidae,perciformes,zoarcoidei,pacific snake prickleback,,,
sock,oncorhynchus nerka,oncorhynchus,salmonidae,salmoniformes,salmonoidei,sockeye,,,
spdo,squalus acanthias,squalus,squalidae,squaliformes,squaloidei,spiny dogfish,,,
