level,LCT,class,order,family,genus,species,all_species
species,Oncorhynchus kisutch,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,Oncorhynchus kisutch
species,Oncorhynchus mykiss,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Oncorhynchus mykiss
species,Oncorhynchus tshawytscha,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha
species,Ophiodon elongatus,Actinopterygii,Scorpaeniformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,Ophiodon elongatus
species,Oxylebius pictus,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius,Oxylebius pictus,Oxylebius pictus
species,Phytichthys chirus,Actinopterygii,Perciformes,Stichaeidae,Phytichthys,Phytichthys chirus,Phytichthys chirus
species,Platichthys stellatus,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys stellatus,Platichthys stellatus
species,Pleuronichthys coenosus,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronichthys,Pleuronichthys coenosus,Pleuronichthys coenosus
species,Polypera greeni,Actinopterygii,Scorpaeniformes,Liparidae,Polypera,Polypera greeni,Polypera greeni
species,Rhacochilus vacca,Actinopterygii,Perciformes,Embiotocidae,Rhacochilus,Rhacochilus vacca,Rhacochilus vacca
species,Rimicola muscarum,Actinopterygii,Gobiesociformes,Gobiesocidae,Rimicola,Rimicola muscarum,Rimicola muscarum
species,Salvelinus malma,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus malma,Salvelinus malma
species,Scorpaenichthys marmoratus,Actinopterygii,Scorpaeniformes,Cottidae,Scorpaenichthys,Scorpaenichthys marmoratus,Scorpaenichthys marmoratus
genus,Sebastes2,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes2,"Sebastes - alutianus, alutus, elongatus, flavidus, melanistictus, melanops,  ruberrimus"
species,Sebastes entomelas,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes entomelas,Sebastes entomelas
species,Sebastes nebulosus,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes nebulosus,Sebastes nebulosus
species,Synchirus gilli,Actinopterygii,Scorpaeniformes,Cottidae,Synchirus,Synchirus gilli,Synchirus gilli
species,Syngnathus leptorhynchus,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus leptorhynchus,Syngnathus leptorhynchus
species,Trichodon trichodon,Actinopterygii,Perciformes,Trichodontidae,Trichodon,Trichodon trichodon,Trichodon trichodon
genus,Pholis1,Actinopterygii,Perciformes,Pholidae,Pholis,Pholis1,"Pholis clemensi, Pholis laeta"
genus,Anoplarchus1,Actinopterygii,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus1,"Anoplarchus insignis, Anoplarchus purpurescens"
genus,Cottus1,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,Cottus1,"Cottus aleuticus, Cottus cognatus"
genus,Hexagrammos1,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos1,"Hexagrammos lagocephalus, Hexagrammos octogrammus"
genus,Lepidopsetta1,Actinopterygii,Pleuronectiformes,Pleuronectidae,Lepidopsetta,Lepidopsetta1,"Lepidopsetta bilineata, Lepidopsetta polyxystra"
genus,Myoxocephalus1,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,Myoxocephalus1,"Myoxocephalus polyacanthocephalus, Myoxocephalus stelleri"
genus,Oligocottus1,Actinopterygii,Scorpaeniformes,Cottidae,Oligocottus,Oligocottus1,"Oligocottus maculosus, Oligocottus snyderi"
genus,Sebastes1,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes1,"Sebastes caurinus, Sebastes maliger"
genus,Xiphister1,Actinopterygii,Perciformes,Stichaeidae,Xiphister,Xiphister1,"Xiphister atropurpureus, Xiphister mucosus"
family,Pleuronectidae1,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectidae1,Pleuronectidae1,"Isopsetta isolepis, Parophrys vetulus, Psettichthys melanostictus"
