"","ss10","ss11","ss12","ss13","ss15","ss16","ss17","ss19","ss22","ss23","ss24","ss25","ss26","ss27","ss28","ss29","ss30","ss31","ss32","ss33","ss34","ss35","ss36","ss37","ss47","ss48","ss49","ss50","ss52","ss53","ss54","ss55","ss6","ss61","ss63","ss66","ss67","ss68","ss69","ss7","ss77","ss78","ss79","ss8","ss80","ss9"
"ASV12",0.999942556517614,0.999942556517614,0.999942556517614,0.999942556517614,0.999942556517614,0.999942556517614,0.999942556517614,0.999942556517614,0.999942556517614,0.999942556517614,0.999942556517614,0.999942556517614,0.786674698302312,0.0509396441942162,0.996068613853429,0.786674698302312,0.996068613853429,0.996068613853429,0.999942556517614,0.999942556517614,0.999942556517614,0.999942556517614,0.999942556517614,0.786674698302312,0.999942556517614,0.0509396441942162,0.786674698302312,0.786674698302312,0.999942556517614,0.786674698302312,0.999942556517614,0.999942556517614,0.996068613853429,0.996068613853429,0.786674698302312,0.999942556517614,0.999942556517614,0.999942556517614,0.999942556517614,0.786674698302312,0.999942556517614,0.786674698302312,0.999942556517614,0.996068613853429,0.999942556517614,0.996068613853429
"ASV13",0.802129659414615,0.990159742247421,0.802129659414615,0.990159742247421,0.999599785843025,0.802129659414615,0.990159742247421,0.802129659414615,0.802129659414615,0.802129659414615,0.990159742247421,0.140388399983552,0.802129659414615,0.999599785843025,0.999599785843025,0.990159742247421,0.140388399983552,0.990159742247421,0.140388399983552,0.990159742247421,0.140388399983552,0.140388399983552,0.802129659414615,0.140388399983552,0.140388399983552,0.802129659414615,0.990159742247421,0.802129659414615,0.140388399983552,0.802129659414615,0.140388399983552,0.140388399983552,0.999599785843025,0.802129659414615,0.140388399983552,0.990159742247421,0.999599785843025,0.999599785843025,0.802129659414615,0.140388399983552,0.999599785843025,0.802129659414615,0.999599785843025,0.999599785843025,0.990159742247421,0.999599785843025
"ASV14",0.999541569570549,0.999541569570549,0.999541569570549,0.999541569570549,0.979253145923562,0.999541569570549,0.999541569570549,0.979253145923562,0.979253145923562,0.0216407192979483,0.505386702601279,0.0216407192979483,0.999541569570549,0.505386702601279,0.999541569570549,0.979253145923562,0.0216407192979483,0.999541569570549,0.0216407192979483,0.505386702601279,0.0216407192979483,0.979253145923562,0.505386702601279,0.0216407192979483,0.505386702601279,0.0216407192979483,0.0216407192979483,0.0216407192979483,0.505386702601279,0.0216407192979483,0.0216407192979483,0.505386702601279,0.999541569570549,0.0216407192979483,0.505386702601279,0.979253145923562,0.979253145923562,0.999541569570549,0.999541569570549,0.505386702601279,0.999541569570549,0.505386702601279,0.999541569570549,0.979253145923562,0.999541569570549,0.999541569570549
"ASV15",0.997159720897655,0.999921297085341,0.997159720897655,0.906553893312959,0.999921297085341,0.211404956519664,0.997159720897655,0.997159720897655,0.906553893312959,0.211404956519664,0.997159720897655,0.906553893312959,0.997159720897655,0.999921297085341,0.997159720897655,0.997159720897655,0.997159720897655,0.997159720897655,0.906553893312959,0.906553893312959,0.211404956519664,0.997159720897655,0.997159720897655,0.211404956519664,0.906553893312959,0.211404956519664,0.997159720897655,0.211404956519664,0.997159720897655,0.997159720897655,0.997159720897655,0.997159720897655,0.999921297085341,0.906553893312959,0.211404956519664,0.906553893312959,0.997159720897655,0.999921297085341,0.999921297085341,0.999921297085341,0.999921297085341,0.997159720897655,0.999921297085341,0.997159720897655,0.997159720897655,0.999921297085341
"ASV16",0.951617151428619,0.999473193337442,0.999473193337442,0.999473193337442,0.999473193337442,0.999473193337442,0.999473193337442,0.169367695837829,0.00210938394289098,0.169367695837829,0.00210938394289098,0.00210938394289098,0.999473193337442,0.999473193337442,0.999473193337442,0.951617151428619,0.999473193337442,0.999473193337442,0.00210938394289098,0.00210938394289098,0.00210938394289098,0.169367695837829,0.00210938394289098,0.00210938394289098,0.00210938394289098,0.00210938394289098,0.169367695837829,0.169367695837829,0.169367695837829,0.00210938394289098,0.169367695837829,0.00210938394289098,0.999473193337442,0.00210938394289098,0.169367695837829,0.951617151428619,0.999473193337442,0.999473193337442,0.999473193337442,0.999473193337442,0.951617151428619,0.951617151428619,0.999473193337442,0.999473193337442,0.999473193337442,0.999473193337442
"ASV17",0.9994372941491,0.00550081702609831,0.00550081702609831,0.274714789597697,0.00550081702609831,0.00550081702609831,0.962876664366638,0.00550081702609831,0.00550081702609831,0.962876664366638,0.9994372941491,0.00550081702609831,0.274714789597697,0.274714789597697,0.00550081702609831,0.274714789597697,0.00550081702609831,0.00550081702609831,0.9994372941491,0.9994372941491,0.9994372941491,0.9994372941491,0.9994372941491,0.9994372941491,0.274714789597697,0.274714789597697,0.9994372941491,0.00550081702609831,0.00550081702609831,0.274714789597697,0.9994372941491,0.274714789597697,0.9994372941491,0.962876664366638,0.9994372941491,0.9994372941491,0.9994372941491,0.9994372941491,0.962876664366638,0.9994372941491,0.9994372941491,0.274714789597697,0.962876664366638,0.9994372941491,0.962876664366638,0.00550081702609831
"ASV18",0.992915610397006,0.182128421500132,0.999715679643624,0.999715679643624,0.999715679643624,0.999715679643624,0.999715679643624,0.848177691344867,0.999715679643624,0.848177691344867,0.848177691344867,0.848177691344867,0.992915610397006,0.848177691344867,0.848177691344867,0.182128421500132,0.182128421500132,0.848177691344867,0.848177691344867,0.992915610397006,0.182128421500132,0.999715679643624,0.848177691344867,0.848177691344867,0.848177691344867,0.182128421500132,0.848177691344867,0.182128421500132,0.999715679643624,0.182128421500132,0.848177691344867,0.848177691344867,0.999715679643624,0.848177691344867,0.992915610397006,0.999715679643624,0.999715679643624,0.992915610397006,0.992915610397006,0.992915610397006,0.999715679643624,0.848177691344867,0.999715679643624,0.848177691344867,0.999715679643624,0.182128421500132
"ASV19",0.453136622112615,0.960344370345889,0.960344370345889,0.960344370345889,0.960344370345889,0.453136622112615,0.998589110963985,0.0275700050673617,0.453136622112615,0.0275700050673617,0.998589110963985,0.0275700050673617,0.0275700050673617,0.453136622112615,0.0275700050673617,0.998589110963985,0.0275700050673617,0.453136622112615,0.0275700050673617,0.0275700050673617,0.453136622112615,0.453136622112615,0.453136622112615,0.0275700050673617,0.0275700050673617,0.0275700050673617,0.0275700050673617,0.0275700050673617,0.0275700050673617,0.0275700050673617,0.453136622112615,0.0275700050673617,0.453136622112615,0.453136622112615,0.0275700050673617,0.0275700050673617,0.0275700050673617,0.960344370345889,0.998589110963985,0.453136622112615,0.998589110963985,0.0275700050673617,0.998589110963985,0.998589110963985,0.998589110963985,0.960344370345889
"ASV20",0.106117005765482,0.106117005765482,0.106117005765482,0.681813208098194,0.106117005765482,0.106117005765482,0.974797015147034,0.106117005765482,0.681813208098194,0.106117005765482,0.106117005765482,0.681813208098194,0.681813208098194,0.106117005765482,0.106117005765482,0.681813208098194,0.106117005765482,0.681813208098194,0.998569666839913,0.998569666839913,0.998569666839913,0.998569666839913,0.998569666839913,0.998569666839913,0.681813208098194,0.681813208098194,0.974797015147034,0.974797015147034,0.974797015147034,0.681813208098194,0.106117005765482,0.681813208098194,0.681813208098194,0.681813208098194,0.974797015147034,0.106117005765482,0.106117005765482,0.681813208098194,0.106117005765482,0.681813208098194,0.681813208098194,0.974797015147034,0.106117005765482,0.106117005765482,0.106117005765482,0.106117005765482
"ASV21",0.999652918585689,0.999652918585689,0.999652918585689,0.999652918585689,0.999652918585689,0.985024143519795,0.999652918585689,0.999652918585689,0.999652918585689,0.600332229814891,0.985024143519795,0.985024143519795,0.985024143519795,0.0331651639544436,0.985024143519795,0.985024143519795,0.600332229814891,0.999652918585689,0.0331651639544436,0.600332229814891,0.0331651639544436,0.600332229814891,0.0331651639544436,0.600332229814891,0.999652918585689,0.600332229814891,0.0331651639544436,0.0331651639544436,0.985024143519795,0.999652918585689,0.985024143519795,0.999652918585689,0.985024143519795,0.985024143519795,0.600332229814891,0.999652918585689,0.0331651639544436,0.999652918585689,0.0331651639544436,0.0331651639544436,0.600332229814891,0.0331651639544436,0.0331651639544436,0.0331651639544436,0.600332229814891,0.0331651639544436
