"","psi","p11","p10","PoO.0","PoO.1","PoO.2","PoO.3"
"ASV441",0.23957882476709,0.221120670332596,0.017746749056379,0.135759155121825,0.711674414105865,0.974864797491823,0.998361818062151
"ASV444",0.258302693008489,0.208220088167307,0.0183477744380838,0.154508371309966,0.719981732209518,0.973101345882907,0.99803922537624
"ASV446",0.261248398568761,0.192294514331881,0.0181603866962499,0.164491519020439,0.717041697188139,0.970253629317637,0.997623782540682
"ASV450",0.304007357683518,0.180606413410006,0.0193313532619545,0.203056832500562,0.740191570333849,0.969564178822851,0.997200436769637
"ASV451",0.260050937258529,0.220037360098869,0.0183664936809346,0.149870150760214,0.726636015853034,0.975656907260168,0.998347981794553
"ASV452",0.279701208113698,0.190423986694987,0.0191364097872346,0.179209501325181,0.724694870195395,0.969452649639867,0.99739323913978
"ASV455",0.263826980275964,0.226635452652266,0.0187513317215604,0.149262415733628,0.729039647411757,0.976337319507938,0.998422070228938
"ASV458",0.294019561672953,0.183992510643168,0.0192961758098511,0.193491300055723,0.733284841524117,0.96923674812252,0.997237968973396
"ASV459",0.28824588012436,0.192798325644082,0.0192496055154472,0.184199267112494,0.733166233408261,0.970960961061867,0.997548360736366
"ASV461",0.300748422874549,0.17292325750752,0.0193719757758438,0.205115491490232,0.73198018039924,0.966560583798577,0.996741825756033
"ASV466",0.295919717092016,0.176874761508229,0.0193811730571668,0.199083781783352,0.729913677707652,0.967086336846644,0.996879433140758
"ASV467",0.279975510861838,0.192398007913532,0.0189425645668603,0.178247232996124,0.72798996598863,0.970606987590631,0.997551629039995
"ASV472",0.372645734149526,0.1413277083951,0.0355553304140186,0.295383629733402,0.651758490258643,0.893112363345247,0.973892813703526
"ASV473",0.26142816592354,0.215111488475694,0.0185706981319838,0.153298175573941,0.723937157818156,0.974347221297594,0.998185547854338
"ASV474",0.266830271018642,0.189745952256771,0.0184356197297578,0.169924313121218,0.718500845630969,0.969535016276378,0.997486192689327
"ASV475",0.262034394783391,0.208142058944684,0.0186014119942471,0.157199910859138,0.721189286853764,0.972878925027963,0.997993847788813
"ASV477",0.277008777524954,0.187677891498224,0.0184191100149883,0.178411010265566,0.727793343049387,0.970518328057657,0.997538862391855
"ASV480",0.277092779944387,0.197593271584635,0.0188271939344789,0.173312931464514,0.729031424650927,0.971852770181338,0.997748257819193
"ASV482",0.285415561837687,0.196990717971628,0.0192790127609099,0.179826983704059,0.73234269768191,0.971546069656274,0.997658603629255
"ASV484",0.268727988640998,0.201830964861283,0.018292133097041,0.164928409704132,0.72828265386429,0.97324357390601,0.99797829950703
"ASV485",0.275304730902274,0.187290884549468,0.0187059718875983,0.17750125140222,0.722911467669486,0.969268953349765,0.997384256408138
"ASV486",0.273367954689399,0.197451190355052,0.0190631327090593,0.170831203293347,0.722862009440267,0.970606666280441,0.997613656960337
"ASV488",0.260840565545946,0.215814075354271,0.0184376038621782,0.152503054572732,0.725004243475816,0.974764552187218,0.998236114415696
"ASV489",0.275000058937704,0.191700862195935,0.0234178623478937,0.177003824384984,0.680220106306727,0.954624563517364,0.995217086177548
"ASV490",0.262317716512514,0.196397459223957,0.0182709128262297,0.163202740301413,0.71919097827676,0.971125388033936,0.997740914576131
"ASV492",0.274076235883527,0.194830507327194,0.0184887878790867,0.172478771409134,0.728068617710916,0.971745787327603,0.997741645226765
"ASV495",0.27057209564184,0.189183700361526,0.0187264201156755,0.173051770814214,0.718986855046577,0.969022735582582,0.997392174883236
"ASV497",0.271452306353819,0.20434498988805,0.0183287229423984,0.165544540238972,0.731823110758539,0.974050812069687,0.998067013633776
"ASV499",0.259560157942481,0.20511417209284,0.018394360069421,0.156932753323041,0.719359042182144,0.972449522000651,0.99794682392246
"ASV500",0.256706114916176,0.204353244429007,0.0182378322212933,0.155284506107189,0.717643974354645,0.972330109864387,0.997945971751088
"ASV501",0.264578850425624,0.19264510370156,0.0181603155898767,0.166686085922469,0.720708255197888,0.970836866868835,0.99767690400125
"ASV502",0.243910571338483,0.197649603929577,0.0176441991415729,0.149493077438672,0.706804482963389,0.970642531258513,0.997799588681142
"ASV503",0.330611848996929,0.158707576424567,0.0245525531518232,0.240618792791543,0.703686411518848,0.946804508925829,0.992559312331196
"ASV504",0.254097819605042,0.202274918684938,0.0181191030471666,0.154466164213893,0.715118269535813,0.971825002294944,0.997894527573495
"ASV505",0.266701697376794,0.202697223580153,0.0185176202099192,0.163158786947962,0.724303469927489,0.972527956189056,0.997908019987767
"ASV506",0.259737223631454,0.212104604255066,0.0181125668685035,0.153466328181288,0.725700358825131,0.974753596750896,0.998228376850415
"ASV507",0.262589413841217,0.188862766404148,0.018496012980339,0.167353665085139,0.712921295243159,0.968437947836248,0.99736922659707
"ASV508",0.284736038489099,0.195926055852261,0.0194192224852759,0.179984802916113,0.72977419373416,0.970784494446612,0.997560044666822
"ASV509",0.255098310434075,0.196897418195038,0.0178634535268133,0.157712595653725,0.716227890506388,0.971446335823196,0.997824186771783
"ASV510",0.256350053459247,0.211197041243031,0.0180491928989048,0.151600805060796,0.72244350829445,0.974302546412705,0.998192578909078
"ASV511",0.261136926722832,0.204815110059949,0.0184024959266307,0.158172646321473,0.720781266052047,0.972577030386135,0.997951907829329
"ASV514",0.266751012926641,0.204535404203967,0.0187730043891112,0.162355951609405,0.722600254150132,0.972228896989962,0.997879104902393
"ASV515",0.282901365153564,0.193295435234795,0.0188804432234852,0.179855685598636,0.731943277789454,0.971427845278804,0.997643372528808
"ASV516",0.262599983010569,0.213191315074169,0.0186222520750694,0.155064964789312,0.723799922055102,0.97397161650871,0.998131967223332
"ASV517",0.242784833115893,0.220578234954061,0.0177386180483542,0.138073095980352,0.715128949232205,0.97521065896074,0.998380558580327
"ASV520",0.327394818185806,0.164320851217743,0.0248302238703865,0.234496669051703,0.702876634366274,0.948100931221443,0.992961426294237
"ASV522",0.249996134071991,0.197760195595435,0.0179248173780273,0.153759514673669,0.710479804441187,0.970711794759785,0.997771007230979
"ASV525",0.274125515541807,0.199947767937638,0.0187324775807123,0.169905752719685,0.728231845813324,0.97228393413072,0.997827281679476
"ASV529",0.297624687871145,0.184707463462726,0.0194733516101584,0.195877345071753,0.73536316786733,0.969417731202864,0.997242155990383
"ASV530",0.263724074612164,0.204669737372731,0.0184903953249449,0.160070367596366,0.722475834907455,0.972648636594911,0.997945645426918
"ASV533",0.210905440856027,0.339443156487262,0.0282161662017329,0.0774415775957362,0.597686499577834,0.963360343072884,0.997855619667993
"ASV536",0.2806792291292,0.187684804375452,0.0189971289511056,0.181360692352831,0.725519417507015,0.96926602496405,0.997349448458389
"ASV538",0.260172094836685,0.207602569857798,0.0185872355902048,0.156188639616906,0.719143295201339,0.97254309078302,0.997963282512459
"ASV539",0.384297356677343,0.137331914713449,0.031257527847765,0.305922058847855,0.685001983012826,0.91474235686617,0.981459331695139
"ASV540",0.325016150523701,0.175811802703349,0.0300996017008195,0.228077733749711,0.670069479896845,0.933155073369953,0.989686072765385
"ASV541",0.239426711066836,0.226913071220849,0.0176520560981732,0.133023355453749,0.714793758146476,0.976155080081036,0.998506769548404
"ASV542",0.116274235021708,0.43087966747197,0.0117199506083964,0.0245109746981857,0.615997196212858,0.990329934398508,0.999847075542563
"ASV543",0.259287705582879,0.188375777338453,0.0180897119715966,0.165058529784643,0.71351073390843,0.969113253685972,0.997476576645559
"ASV546",0.312118575156664,0.179310345352789,0.0200219094565951,0.210421122546597,0.740253636160931,0.968230496789959,0.996941109649075
"ASV548",0.255361883079424,0.198792880632313,0.0178661882685443,0.156957687796687,0.717464784909566,0.971938178715226,0.997887658749151
"ASV549",0.240549504336033,0.212578513666196,0.0173882912611932,0.140152932702265,0.713193369253784,0.97431704115591,0.998275124026802
"ASV551",0.247075189048532,0.207368539394038,0.0178633141470227,0.147117648018268,0.712740532245075,0.972744129776677,0.998055827443501
"ASV552",0.296611422847706,0.184403224173676,0.0195044472865541,0.195305042844578,0.733942786221336,0.969091865706188,0.997201754036864
"ASV555",0.272551815607399,0.199250680275225,0.0189172843684043,0.169237551805943,0.724432506398432,0.971367225306801,0.997721027688958
"ASV557",0.264829495762105,0.191822259979815,0.0181111053303749,0.167269371949322,0.7210418409876,0.970812007253357,0.997668979737371
"ASV558",0.238761425562736,0.206610732144869,0.0172904223855015,0.141670888232728,0.70955061300394,0.973087572700864,0.998134891764807
