id,replicate,species,oral.gape.position,eye.size,mouth.length,eye.position,pec.fin.position,pec.fin.AR,caudal.fin.AR,caudal.ped.throttling,fin.SA.ratio,fl_tl
Icelinus_burchami,1,y,0.323222746,0.117794011,0.139215686,0.811052237,0.435223694,1.565493312,1.125477526,2.999761283,1.883261907,1
Icelinus_filamentosus,1,y,0.388908663,0.082535737,0.120976754,0.820947788,0.538240723,2.200861996,1.203663766,3.178457116,1.694888774,1
Icelinus_oculatus,1,y,0.198945076,0.101262696,0.14626481,0.732977273,0.529465128,1.513010567,0.899865343,2.760436764,1.525022251,1
Icelinus_tenuis,1,y,0.437076444,0.067425699,0.10183772,0.801333304,0.522757745,2.092895856,0.96536652,2.58545574,2.0224931,1
Icelus_spiniger,1,y,0.364683241,0.088419853,0.184391549,0.751401473,0.412520833,1.564356072,1.165984969,3.956555556,2.86687428,1
Icichthys_lockingtoni,1,y,0.433962264,0.058575077,0.076372513,0.672955975,0.473013456,1.800397123,0.876205462,2.04832069,0.452863642,1.00751343
Icosteus_aenigmaticus,1,y,0.428571429,0.028233954,0.094799448,0.585714286,0.546351274,1.796359105,1.354344447,4.250824237,0.399309459,1.01197245
Jordania_zonope,1,y,0.345962026,0.07157576,0.073660542,0.760991931,0.441176471,2.449567941,1.110873443,3.515713026,1.889298375,1
Lamna_ditropis,1,y,0.223246165,0.027148153,0.098702918,0.619171108,0.26258071,3.494970589,2.82820909,7.430130345,0.861686305,1.150167776
Lampanyctus_regalis,1,y,0.599129083,0.060584048,0.225059739,0.718068563,0.340854898,3.342573399,0.962226334,1.837152336,0.112222717,1.084621685
Lampanyctus_ritteri,1,y,0.642828063,0.043960178,0.163717006,0.728555137,0.223298442,4.19244739,0.947855411,1.968064,0.070478418,1.110647853
Lampris_regius,1,y,0.603048832,0.092131075,0.110906161,0.664117068,0.56793192,5.496562556,4.931051905,5.800529894,1.029131049,1.045233807
Lepidogobius_lepidus,1,y,0.446694839,0.055569515,0.099862997,0.761429423,0.685938717,2.450674307,0.61186272,1.725827393,0.748401878,1
Leptocottus_armatus,1,y,0.550327416,0.074086916,0.144375465,0.822485207,0.561770115,1.94697122,1.055123217,2.888913577,2.392522769,1
Leptocottus_armatus,2,y,0.548084514,0.045613334,0.116012117,0.761560251,0.499976668,1.287370947,1.515519686,3.300957392,2.421460999,1
Leptocottus_armatus,3,y,0.489268286,0.043434307,0.079641028,0.836944906,0.5556649,2.064792477,0.68118891,2.177928916,2.305854241,1
Leptocottus_armatus,4,y,0.335190374,0.052203764,0.14749914,0.879067084,0.641025408,1.150799091,1.292800188,3.214252916,3.355300188,1
Leptocottus_armatus,5,y,0.547287313,0.05731816,0.157814041,0.71641791,0.483345992,1.220834972,0.418984405,1.392711792,3.748791255,1
Lestidium_ringens,1,y,0.695811332,0.042338841,0.082531614,0.623657701,0.525270546,6.271642487,1.720522307,3.784441086,0.958601832,1.035005271
Leuroglossus_stilbius_schmidti,1,y,0.705574802,0.060664211,0.080836498,0.730972957,0.251009796,3.723590325,1.147788875,2.129641149,0.147966856,1.03663947
Liparis_callyodon,1,y,0.73899115,0.041143951,0.063205006,0.814170354,0.496675662,1.701986383,0.867905215,1.961901814,1.418334637,1
Liparis_cyclopus,1,y,0.327135514,0.049544792,0.074879965,0.780429907,0.409162667,1.308053692,0.93025069,2.296875,2.045976572,1
Liparis_dennyi,1,y,0.390733312,0.040866024,0.084281301,0.731772329,0.439913968,0.574092227,0.801853936,1.870967742,5.103542343,1
Liparis_florae,1,y,0.445940924,0.028379753,0.038759565,0.734349838,0.373906541,1.462883755,0.957624642,1.401459854,1.956033537,1
