kingdom,phylum,order,family,genus,species,in_range,old_species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,class,class_id,subspecies,subspecies_id,form,form_id,ids
Animalia,Chordata,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,y,Gasterosteus aculeatus williamsoni,1,44,550,7666,2333602,4286327,NA,NA,Gasterosteus aculeatus williamsoni,6169883,NA,NA,Gasterosteus aculeatus williamsoni
Animalia,Chordata,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,y,Gasterosteus aculeatus aculeatus,1,44,550,7666,2333602,4286327,NA,NA,NA,NA,Gasterosteus aculeatus aculeatus,8776075,Gasterosteus aculeatus aculeatus
Animalia,Chordata,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus microcephalus,n,Gasterosteus aculeatus microcephalus,1,44,550,7666,2333602,2356544,NA,NA,Gasterosteus aculeatus microcephalus,6169876,NA,NA,Gasterosteus aculeatus microcephalus
Animalia,Chordata,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus nipponicus,n,Gasterosteus nipponicus,1,44,550,7666,2333602,9168522,NA,NA,NA,NA,NA,NA,Gasterosteus nipponicus
Animalia,Chordata,Perciformes,Clinidae,Gibbonsia,Gibbonsia montereyensis,y,Gibbonsia montereyensis,1,44,587,4261,2380263,5209308,NA,NA,NA,NA,NA,NA,Gibbonsia montereyensis
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus stelleri,n,Glyptocephalus stelleri,1,44,588,8611,2409281,5213991,NA,NA,NA,NA,NA,NA,Glyptocephalus stelleri
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,y,Glyptocephalus zachirus,1,44,588,8611,2409281,5214001,NA,NA,NA,NA,NA,NA,Glyptocephalus zachirus
Animalia,Chordata,Gobiesociformes,Gobiesocidae,Gobiesox,Gobiesox maeandricus,y,Gobiesox maeandricus,1,44,1163,7668,2411258,2411287,NA,NA,NA,NA,NA,NA,Gobiesox maeandricus
Animalia,Chordata,Scorpaeniformes,Cottidae,Hemilepidotus,Hemilepidotus gilberti,n,Hemilepidotus gilberti,1,44,590,8621,2333943,2333948,NA,NA,NA,NA,NA,NA,Hemilepidotus gilberti
Animalia,Chordata,Scorpaeniformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus,y,Hemilepidotus hemilepidotus,1,44,590,8621,2333943,2333949,NA,NA,NA,NA,NA,NA,Hemilepidotus hemilepidotus
Animalia,Chordata,Scorpaeniformes,Cottidae,Hemilepidotus,Hemilepidotus spinosus,y,Hemilepidotus spinosus,1,44,590,8621,2333943,2333952,NA,NA,NA,NA,NA,NA,Hemilepidotus spinosus
Animalia,Chordata,Scorpaeniformes,Cottidae,Hemilepidotus,Hemilepidotus zapus,n,Hemilepidotus zapus,1,44,590,8621,2333943,2333944,NA,NA,NA,NA,NA,NA,Hemilepidotus zapus
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos agrammus,n,Hexagrammos agrammus,1,44,590,8626,2336463,2336490,NA,NA,NA,NA,NA,NA,Hexagrammos agrammus
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,y,Hexagrammos decagrammus,1,44,590,8626,2336463,2336472,NA,NA,NA,NA,NA,NA,Hexagrammos decagrammus
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos lagocephalus,y,Hexagrammos lagocephalus,1,44,590,8626,2336463,2336464,NA,NA,NA,NA,NA,NA,Hexagrammos lagocephalus
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos octogrammus,y,Hexagrammos octogrammus,1,44,590,8626,2336463,2336486,NA,NA,NA,NA,NA,NA,Hexagrammos octogrammus
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos otakii,n,Hexagrammos otakii,1,44,590,8626,2336463,2336496,NA,NA,NA,NA,NA,NA,Hexagrammos otakii
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides elassodon,y,Hippoglossoides elassodon,1,44,588,8611,2409098,2409109,NA,NA,NA,NA,NA,NA,Hippoglossoides elassodon
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,n,Hippoglossoides platessoides,1,44,588,8611,2409098,2409104,NA,NA,NA,NA,NA,NA,Hippoglossoides platessoides
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus hippoglossus,n,Hippoglossus hippoglossus,1,44,588,8611,2408796,2409218,NA,NA,NA,NA,NA,NA,Hippoglossus hippoglossus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus stenolepis,y,Hippoglossus stenolepis,1,44,588,8611,2408796,2409216,NA,NA,NA,NA,NA,NA,Hippoglossus stenolepis
Animalia,Chordata,Scorpaeniformes,Sebastidae,Hozukius,Hozukius emblemarius,n,Hozukius emblemarius,1,44,590,8633,2335347,2335349,NA,NA,NA,NA,NA,NA,Hozukius emblemarius
Animalia,Chordata,Chimaeriformes,Chimaeridae,Hydrolagus,Hydrolagus colliei,y,Hydrolagus colliei,1,44,880,2181,2417351,5215461,Holocephali,120,NA,NA,NA,NA,Hydrolagus colliei
Animalia,Chordata,Perciformes,Ammodytidae,Hyperoplus,Hyperoplus immaculatus,n,Hyperoplus immaculatus,1,44,587,8487,2390011,2390012,NA,NA,NA,NA,NA,NA,Hyperoplus immaculatus
Animalia,Chordata,Perciformes,Ammodytidae,Hyperoplus,Hyperoplus lanceolatus,n,Hyperoplus lanceolatus,1,44,587,8487,2390011,2390014,NA,NA,NA,NA,NA,NA,Hyperoplus lanceolatus
Animalia,Chordata,Osmeriformes,Osmeridae,Hypomesus,Hypomesus pretiosus,y,Hypomesus pretiosus,1,44,1068,8480,2410868,2410871,NA,NA,NA,NA,NA,NA,Hypomesus pretiosus
Animalia,Chordata,Scorpaeniformes,Cottidae,Icelinus,Icelinus borealis,y,Icelinus borealis,1,44,590,8621,2334346,2334359,NA,NA,NA,NA,NA,NA,Icelinus borealis
Animalia,Chordata,Perciformes,Centrolophidae,Icichthys,Icichthys lockingtoni,y,Icichthys lockingtoni,1,44,587,8515,2398045,2398046,NA,NA,NA,NA,NA,NA,Icichthys lockingtoni
Animalia,Chordata,Perciformes,Icosteidae,Icosteus,Icosteus aenigmaticus,y,Icosteus aenigmaticus,1,44,587,9668,2394444,2394445,NA,NA,NA,NA,NA,NA,Icosteus aenigmaticus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,y,Isopsetta isolepis,1,44,588,8611,2409201,2409202,NA,NA,NA,NA,NA,NA,Isopsetta isolepis
Animalia,Chordata,Scorpaeniformes,Cottidae,Jordania,Jordania zonope,y,Jordania zonope,1,44,590,8621,2333883,2333884,NA,NA,NA,NA,NA,NA,Jordania zonope
Animalia,Chordata,Perciformes,Gobiidae,Lepidogobius,Lepidogobius lepidus,y,Lepidogobius lepidus,1,44,587,4274,2379181,2379182,NA,NA,NA,NA,NA,NA,Lepidogobius lepidus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Lepidopsetta,Lepidopsetta bilineata,y,Lepidopsetta bilineata,1,44,588,8611,5213905,5213939,NA,NA,NA,NA,NA,NA,Lepidopsetta bilineata
