level,LCT,order,family,genus,species,all_species
species,Gadus macrocephalus,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,Gadus macrocephalus
species,Gibbonsia montereyensis,Perciformes,Clinidae,Gibbonsia,Gibbonsia montereyensis,Gibbonsia montereyensis
species,Glyptocephalus zachirus,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,Glyptocephalus zachirus
species,Gobiesox maeandricus,Gobiesociformes,Gobiesocidae,Gobiesox,Gobiesox maeandricus,Gobiesox maeandricus
species,Hemilepidotus hemilepidotus,Scorpaeniformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus,Hemilepidotus hemilepidotus
species,Hemilepidotus spinosus,Scorpaeniformes,Cottidae,Hemilepidotus,Hemilepidotus spinosus,Hemilepidotus spinosus
species,Hexagrammos decagrammus,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,Hexagrammos decagrammus
species,Hippoglossoides elassodon,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides elassodon,Hippoglossoides elassodon
species,Hippoglossus stenolepis,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus stenolepis,Hippoglossus stenolepis
species,Hydrolagus colliei,Chimaeriformes,Chimaeridae,Hydrolagus,Hydrolagus colliei,Hydrolagus colliei
species,Hypomesus pretiosus,Osmeriformes,Osmeridae,Hypomesus,Hypomesus pretiosus,Hypomesus pretiosus
species,Icelinus borealis,Scorpaeniformes,Cottidae,Icelinus,Icelinus borealis,Icelinus borealis
species,Icichthys lockingtoni,Perciformes,Centrolophidae,Icichthys,Icichthys lockingtoni,Icichthys lockingtoni
species,Icosteus aenigmaticus,Perciformes,Icosteidae,Icosteus,Icosteus aenigmaticus,Icosteus aenigmaticus
species,Jordania zonope,Scorpaeniformes,Cottidae,Jordania,Jordania zonope,Jordania zonope
species,Lepidogobius lepidus,Perciformes,Gobiidae,Lepidogobius,Lepidogobius lepidus,Lepidogobius lepidus
species,Leptocottus armatus,Scorpaeniformes,Cottidae,Leptocottus,Leptocottus armatus,Leptocottus armatus
species,Liparis cyclopus,Scorpaeniformes,Liparidae,Liparis,Liparis cyclopus,Liparis cyclopus
species,Liparis florae,Scorpaeniformes,Liparidae,Liparis,Liparis florae,Liparis florae
species,Liparis fucensis,Scorpaeniformes,Liparidae,Liparis,Liparis fucensis,Liparis fucensis
species,Liparis mucosus,Scorpaeniformes,Liparidae,Liparis,Liparis mucosus,Liparis mucosus
species,Liparis pulchellus,Scorpaeniformes,Liparidae,Liparis,Liparis pulchellus,Liparis pulchellus
species,Lumpenus sagitta,Perciformes,Stichaeidae,Lumpenus,Lumpenus sagitta,Lumpenus sagitta
species,Lyopsetta exilis,Pleuronectiformes,Pleuronectidae,Lyopsetta,Lyopsetta exilis,Lyopsetta exilis
species,Merluccius productus,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,Merluccius productus
species,Microgadus proximus,Gadiformes,Gadidae,Microgadus,Microgadus proximus,Microgadus proximus
species,Microstomus pacificus,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,Microstomus pacificus
species,Mola mola,Tetraodontiformes,Molidae,Mola,Mola mola,Mola mola
species,Nautichthys oculofasciatus,Scorpaeniformes,Hemitripteridae,Nautichthys,Nautichthys oculofasciatus,Nautichthys oculofasciatus
species,Odontopyxis trispinosa,Scorpaeniformes,Agonidae,Odontopyxis,Odontopyxis trispinosa,Odontopyxis trispinosa
species,Oncorhynchus clarkii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,Oncorhynchus clarkii
species,Oncorhynchus gorbuscha,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha
