kingdom,phylum,class,order,family,genus,species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id,gbif_query,query,taxo_query_level,higher_taxo_source
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Mylocheilus,Mylocheilus caurinus,1,44,204,1153,7336,2360912,2360913,2360913,pech,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,Apodichthys,Apodichthys flavidus,1,44,204,587,8576,2390387,2390392,2390392,pegu,species,gbif
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Eopsetta,Eopsetta jordani,1,44,204,588,8611,2409233,2409237,2409237,peso,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Rhacochilus,Rhacochilus vacca,1,44,204,587,4269,2389312,2389313,2389313,pipe,species,gbif
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,1,44,204,1313,8615,2351426,5204037,5204037,pink,species,gbif
Animalia,Chordata,Actinopterygii,Batrachoidiformes,Batrachoididae,Porichthys,Porichthys notatus,1,44,204,1106,7187,2350811,2350817,2350817,plmi,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,Oligocottus maculosus,1,44,204,590,8621,2334066,2334177,2334177,prsc,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes emphaeus,1,44,204,590,8633,2333712,2335372,2335372,psro,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Odontopyxis,Odontopyxis trispinosa,1,44,204,590,8617,2337271,2337272,2337272,pypo,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Ptilichthyidae,Ptilichthys,Ptilichthys goodei,1,44,204,587,4503,2390024,2390025,2390025,qufi,species,gbif
Animalia,Chordata,Holocephali,Chimaeriformes,Chimaeridae,Hydrolagus,Hydrolagus colliei,1,44,120,880,2181,2417351,5215461,5215461,ratf,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Chitonotus,Chitonotus pugetensis,1,44,204,590,8621,2333760,2333761,2333761,rbsc,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus,1,44,204,590,8621,2333943,2333949,2333949,reil,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Amphistichus,Amphistichus rhodoterus,1,44,204,587,4269,2389247,2389252,2389252,repe,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Phytichthys,Phytichthys chirus,1,44,204,587,8598,2394820,2394821,2394821,ripr,species,gbif
