kingdom,phylum,order,family,genus,species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,class,class_id,gbif_query,query,taxo_query_level,higher_taxo_source
Animalia,Chordata,Scorpaeniformes,Liparidae,Liparis,Liparis dennyi,1,44,590,8627,2335959,5201415,Actinopterygii,NA,5201415,masn,species,gbif
Animalia,Chordata,Scorpaeniformes,Cottidae,Clinocottus,Clinocottus globiceps,1,44,590,8621,2333865,2333870,Actinopterygii,NA,2333870,mosc,species,gbif
Animalia,Chordata,Perciformes,Stichaeidae,Chirolophis,Chirolophis nugator,1,44,587,8598,2394935,2394956,Actinopterygii,NA,2394956,mowa,species,gbif
Animalia,Chordata,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,1,44,538,7334,2352080,2414024,Actinopterygii,NA,2414024,noan,species,gbif
Animalia,Chordata,Gobiesociformes,Gobiesocidae,Gobiesox,Gobiesox maeandricus,1,44,1163,7668,2411258,2411287,Actinopterygii,NA,2411287,nocl,species,gbif
Animalia,Chordata,Scorpaeniformes,Cottidae,Icelinus,Icelinus borealis,1,44,590,8621,2334346,2334359,Actinopterygii,NA,2334359,nosc,species,gbif
Animalia,Chordata,Scorpaeniformes,Agonidae,Agonopsis,Agonopsis vulsa,1,44,590,8617,2337232,5201655,Actinopterygii,NA,5201655,nspo,species,gbif
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,1,44,549,3701,2335052,2415853,Actinopterygii,NA,2415853,paco,species,gbif
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Oxylebius,Oxylebius pictus,1,44,590,8626,2336509,2336510,Actinopterygii,NA,2336510,pagr,species,gbif
Animalia,Chordata,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys sordidus,1,44,588,5082,2408301,2408726,Actinopterygii,NA,2408726,pasa,species,gbif
Animalia,Chordata,Scorpaeniformes,Cottidae,Artedius,Artedius fenestralis,1,44,590,8621,2333960,2333969,Actinopterygii,NA,2333969,pasc,species,gbif
Animalia,Chordata,Perciformes,Trichodontidae,Trichodon,Trichodon trichodon,1,44,587,5075,7598749,5210437,Actinopterygii,NA,5210437,pasf,species,gbif
Animalia,Chordata,Cypriniformes,Cyprinidae,Mylocheilus,Mylocheilus caurinus,1,44,1153,7336,2360912,2360913,Actinopterygii,NA,2360913,pech,species,gbif
Animalia,Chordata,Perciformes,Pholidae,Apodichthys,Apodichthys flavidus,1,44,587,8576,2390387,2390392,Actinopterygii,NA,2390392,pegu,species,gbif
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Eopsetta,Eopsetta jordani,1,44,588,8611,2409233,2409237,Actinopterygii,NA,2409237,peso,species,gbif
Animalia,Chordata,Perciformes,Embiotocidae,Rhacochilus,Rhacochilus vacca,1,44,587,4269,2389312,2389313,Actinopterygii,NA,2389313,pipe,species,gbif
