site,year,month,day,location,depth,temp,salinity,ph,secchi
wfb,2019,7,30,d3,5,13,31.14,7.92,
wfb,2019,7,30,d4,10,9.9,32.97,7.82,
ssp,2019,7,30,a1,0,14.1,29.7,7.93,
ssp,2019,7,30,b1,0,14,29.76,7.95,
ssp,2019,7,30,b2,1,14,29.82,8.03,
ssp,2019,7,30,c1,0,14.2,29.53,7.94,
ssp,2019,7,30,c2,1,14,29.91,8.02,
ssp,2019,7,30,c3,3,13.9,29.69,7.99,
ssp,2019,7,30,d1,0,13.8,30.41,8,
ssp,2019,7,30,d2,1,13.7,30.41,8.01,
ssp,2019,7,30,d3,5,13.2,30.98,7.99,
ssp,2019,7,30,d4,10,12.8,31.3,7.94,
ppo,2019,7,31,a1,0,15.8,26.2,8.08,
ppo,2019,7,31,b1,0,15.9,26.4,8.09,
ppo,2019,7,31,b2,1,15.8,26.69,8.03,
ppo,2019,7,31,c1,0,15.9,26.36,8.14,
ppo,2019,7,31,c2,1,15.9,27.07,8.06,
ppo,2019,7,31,c3,3,14.8,30.12,8.07,
ppo,2019,7,31,d1,0,15.9,26.11,8.19,
ppo,2019,7,31,d2,1,15.9,26.63,8.18,
ppo,2019,7,31,d3,5,13.6,31.13,8,
ppo,2019,7,31,d4,10,12,31.7,7.9,
pba,2019,7,31,a1,0,15.8,25.89,8.12,
pba,2019,7,31,b1,0,15.6,24.55,8.18,
pba,2019,7,31,b2,1,16,24.5,8.15,
pba,2019,7,31,c1,0,15.6,25.66,8.17,
pba,2019,7,31,c2,1,16,26.94,8.16,
pba,2019,7,31,c3,3,14.9,30.29,7.88,
pba,2019,7,31,d1,0,15.8,26.1,8.18,
pba,2019,7,31,d2,1,16,26.88,8.15,
pba,2019,7,31,d3,5,13.7,30.81,7.98,
pba,2019,7,31,d4,10,12.4,31.56,7.85,
kis2,2019,8,1,a1,0,15.1,27.4,8.13,6
kis2,2019,8,1,b1,0,15.4,30.98,8.16,6
kis2,2019,8,1,b2,1,15.4,30.99,8.15,6
kis2,2019,8,1,c1,0,15.4,30.96,8.17,6
kis2,2019,8,1,c2,1,15.4,31.12,8.14,6
kis2,2019,8,1,c3,3,15.2,31.45,8.14,6
kis2,2019,8,1,d1,0,15.4,31.01,8.16,6
kis2,2019,8,1,d2,1,15.4,31.14,8.16,6
kis2,2019,8,1,d3,5,15.3,31.55,8.13,6
kis2,2019,8,1,d4,10,15.3,31.55,8.1,6
kis1,2019,8,1,a1,0,15,30.75,8.11,6.7
kis1,2019,8,1,b1,0,15.1,30.81,8.15,6.7
kis1,2019,8,1,b2,1,15.1,30.8,8.17,6.7
kis1,2019,8,1,c1,0,15.1,30.76,8.16,6.7
kis1,2019,8,1,c2,1,15.1,30.81,8.16,6.7
kis1,2019,8,1,c3,2,15.1,30.81,8.16,6.7
kis1,2019,8,1,d1,0,15.1,30.74,8.18,6.7
kis1,2019,8,1,d2,1,15.1,30.81,8.18,6.7
kis1,2019,8,1,d3,5,15.1,31.16,8.16,6.7
kis1,2019,8,1,d4,10,14.4,31.78,8.09,6.7
gog4,2019,8,2,a1,0,15.3,31.61,8.17,
gog4,2019,8,2,b1,0,15.3,31.66,8.19,
gog4,2019,8,2,b2,1,15.4,31.63,8.17,
gog4,2019,8,2,c1,0,15.3,31.41,8.23,
gog4,2019,8,2,c2,1,15.4,31.67,8.23,
gog4,2019,8,2,c3,3,15.2,31.98,8.1,
gog4,2019,8,2,d1,0,15.4,31.61,8.14,
gog4,2019,8,2,d2,1,15.3,31.96,8.18,
gog4,2019,8,2,d3,5,14.8,32.24,8.15,
gog4,2019,8,2,d4,10,14.5,32.38,8.04,
gog1,2019,8,2,a1,0,15.4,32.27,8.09,
gog1,2019,8,2,b1,0,15.3,32.34,8.07,
gog1,2019,8,2,b2,1,15.2,32.41,8.07,
gog1,2019,8,2,c1,0,15.3,32.34,8.07,
gog1,2019,8,2,c2,1,15.2,32.4,8.06,
gog1,2019,8,2,c3,1.5,15.2,32.45,8.06,
gog1,2019,8,2,d1,0,15.7,32.29,8.11,
gog1,2019,8,2,d2,1,15.5,32.35,8.12,
gog1,2019,8,2,d3,5,15.1,32.4,8.13,
gog1,2019,8,2,d4,10,14.7,32.52,8.1,
fan1,2019,8,2,a1,0,14,32.36,7.94,3.5
fan1,2019,8,2,b1,0,14,32.45,7.96,3.5
