PHYIDENT,REGION,SECTION,UNIT,SUBUNIT,ZONE,COMPONENT,BAR,BMU,BRE,CHB,CHB2,CHB3,CHB4,CHB5,CHB6,CHB7,DIA,FUC,GRA,HAL,HAL2,HAL3,HAL4,HAL5,HAL6,HAL7,MAC,MUS,NER,OYS,RED,RED2,RED3,RED4,RED5,RED6,RED7,SAL,SBR,SBR2,SBR3,SBR4,SBR5,SBR6,SBR7,SED,SUR,ULV,URC,VER,ZOS,FEAT_LEN,OBJECTID,SHAPE
08/08/0910/00,"8","8","910",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,288.6450,117217,
08/08/0911/00,"8","8","911",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,204.9510,117228,
08/08/0911/00,"8","8","911",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,204.9510,117234,
08/08/0911/00,"8","8","911",0,B,1,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,204.9510,117231,
08/08/0911/00,"8","8","911",0,B,3,,,,,,,,,,C,,,,,,,,,,,,,C,,,,,,,,C,,,,,,,,,,P,,C,,,204.9510,117237,
08/08/0911/00,"8","8","911",0,B,3,,,,,,,,,,C,,,,,,,,,,,,,C,,,,,,,,C,,,,,,,,,,P,,C,,,662.2386,117236,
08/08/0911/00,"8","8","911",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,662.2386,117233,
08/08/0905/00,"8","8","905",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,M,,357.7926,117176,
08/08/0905/00,"8","8","905",0,B,1,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.7926,117178,
08/08/0905/00,"8","8","905",0,B,3,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,357.7926,117182,
08/08/0905/00,"8","8","905",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,357.7926,117180,
08/08/0914/00,"8","8","914",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,N,,1381.9837,117247,
08/08/0914/00,"8","8","914",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,1381.9837,117249,
08/08/0914/00,"8","8","914",0,B,3,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,P,,,P,1381.9837,117250,
08/08/0914/00,"8","8","914",0,B,1,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1381.9837,117248,
08/08/0915/00,"8","8","915",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,1405.9152,117253,
08/08/0915/00,"8","8","915",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,1405.9152,117254,
08/08/0915/00,"8","8","915",0,B,1,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1405.9152,117252,
08/08/0915/00,"8","8","915",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,N,,1405.9152,117251,
08/08/0904/00,"8","8","904",0,B,1,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.9213,117172,
08/08/0904/00,"8","8","904",0,B,2,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.9213,117173,
08/08/0904/00,"8","8","904",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,203.9213,117174,
08/08/0904/00,"8","8","904",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,203.9213,117171,
08/08/0907/00,"8","8","907",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,177.2441,117193,
08/08/0907/00,"8","8","907",0,B,3,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,C,,,177.2441,117196,
08/08/0907/00,"8","8","907",0,B,1,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.2441,117190,
